age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,high_income
age1,Private,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Female,part-time,Germany,<=50K
age4,Local-gov,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age3,Private,somecollege,average-education,Divorced,Sales,Unmarried,Black,Female,full-time,United-States,<=50K
age6,Private,college,high-education,Divorced,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Own-child,White,Male,full-time,United-States,<=50K
age5,Federal-gov,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
age3,Private,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,>50K
age5,Private,somecollege,average-education,Divorced,Other-service,Not-in-family,White,Male,full-time,United-States,<=50K
age1,Private,college,high-education,Never-married,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
age5,Private,pre-college,low-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,Ecuador,<=50K
age3,Private,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Divorced,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
age2,Local-gov,college,high-education,Never-married,Protective-serv,Not-in-family,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Own-child,White,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Never-married,Tech-support,Unmarried,Black,Female,full-time,United-States,<=50K
age6,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,part-time,United-States,<=50K
age3,Self-emp-inc,college,high-education,Divorced,Sales,Not-in-family,White,Female,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Craft-repair,Own-child,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Sales,Not-in-family,White,Male,excessive-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,>50K
age5,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,full-time,Laos,<=50K
age4,Private,somecollege,average-education,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Tech-support,Not-in-family,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Never-married,Prof-specialty,Not-in-family,White,Female,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,>50K
age3,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,extra-time,United-States,>50K
age2,Private,college,high-education,Never-married,Sales,Not-in-family,White,Male,full-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,part-time,Taiwan,>50K
age3,Self-emp-not-inc,college,high-education,Divorced,Prof-specialty,Not-in-family,Black,Female,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Sales,Own-child,White,Male,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Machine-op-inspct,Not-in-family,White,Male,full-time,United-States,<=50K
age8,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age1,Private,pre-college,low-education,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,full-time,Mexico,<=50K
age2,Private,somecollege,average-education,Never-married,Tech-support,Not-in-family,White,Female,full-time,United-States,<=50K
age6,Private,somecollege,average-education,Widowed,Other-service,Not-in-family,White,Female,part-time,United-States,<=50K
age3,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Transport-moving,Not-in-family,White,Male,full-time,United-States,<=50K
age2,Private,pre-college,some-education,Never-married,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
age8,Self-emp-not-inc,college,high-education,Married-civ-spouse,Craft-repair,Husband,White,Male,part-time,United-States,<=50K
age6,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Wife,White,Female,extra-time,United-States,>50K
age6,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,United-States,<=50K
age7,Private,somecollege,average-education,Never-married,Transport-moving,Not-in-family,White,Male,extra-time,United-States,<=50K
age3,Private,somecollege,average-education,Never-married,Craft-repair,Not-in-family,Black,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Never-married,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Never-married,Other-service,Not-in-family,White,Male,full-time,United-States,<=50K
age5,Local-gov,pre-college,some-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
age1,Private,pre-college,low-education,Never-married,Other-service,Other-relative,White,Male,extra-time,Mexico,<=50K
age2,Private,somecollege,average-education,Never-married,Craft-repair,Other-relative,White,Male,full-time,United-States,<=50K
age4,Private,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Unmarried,Black,Male,part-time,Haiti,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Other-service,Husband,Black,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Sales,Not-in-family,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age3,State-gov,somecollege,average-education,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,>50K
age2,Private,somecollege,average-education,Never-married,Farming-fishing,Not-in-family,White,Male,part-time,United-States,<=50K
age1,State-gov,somecollege,average-education,Never-married,Protective-serv,Own-child,Black,Female,full-time,United-States,<=50K
age4,Self-emp-not-inc,college,high-education,Never-married,Sales,Not-in-family,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-spouse-absent,Other-service,Not-in-family,White,Male,part-time,Iran,<=50K
age2,Private,college,high-education,Never-married,Prof-specialty,Own-child,White,Male,part-time,United-States,<=50K
age2,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age2,Private,somecollege,average-education,Married-civ-spouse,Other-service,Husband,White,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age4,Local-gov,pre-college,some-education,Married-civ-spouse,Transport-moving,Husband,White,Male,part-time,United-States,<=50K
age3,Federal-gov,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,>50K
age6,Private,pre-college,some-education,Widowed,Other-service,Unmarried,Other,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Tech-support,Husband,White,Male,full-time,United-States,>50K
age4,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,part-time,United-States,<=50K
age2,Self-emp-not-inc,pre-college,some-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,Portugal,<=50K
age3,Private,pre-college,some-education,Married-civ-spouse,Other-service,Wife,White,Female,part-time,United-States,<=50K
age6,Private,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age4,Private,college,high-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
age4,Private,college,high-education,Divorced,Exec-managerial,Not-in-family,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Married-spouse-absent,Sales,Not-in-family,White,Male,extra-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age5,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Not-in-family,White,Female,part-time,United-States,<=50K
age5,Private,college,high-education,Divorced,Exec-managerial,Not-in-family,White,Female,full-time,United-States,>50K
age3,Private,somecollege,average-education,Divorced,Sales,Unmarried,White,Female,full-time,United-States,<=50K
age2,Federal-gov,somecollege,average-education,Never-married,Adm-clerical,Unmarried,White,Female,part-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
age3,State-gov,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,>50K
age4,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Never-married,Craft-repair,Not-in-family,Black,Male,full-time,United-States,<=50K
age1,Local-gov,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Wife,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Not-in-family,White,Male,full-time,United-States,<=50K
age4,Self-emp-not-inc,college,high-education,Divorced,Exec-managerial,Not-in-family,White,Male,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,<=50K
age5,Private,somecollege,average-education,Divorced,Transport-moving,Not-in-family,White,Male,full-time,United-States,<=50K
age4,Private,pre-college,low-education,Divorced,Craft-repair,Not-in-family,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Divorced,Sales,Not-in-family,White,Female,full-time,United-States,<=50K
age3,Local-gov,somecollege,average-education,Married-civ-spouse,Transport-moving,Wife,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Other-service,Not-in-family,White,Female,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Separated,Machine-op-inspct,Not-in-family,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,part-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Other-service,Other-relative,White,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Other-service,Wife,White,Female,full-time,United-States,>50K
